shortName,longName,fastaName,gff3Name,gc,numGene,numExon,numIntron,intronDensity,rnaSeqCount
Pilcr1,Piloderma croceum F 1598 v1.0,Pilcr1_AssemblyScaffolds.fasta.gz,Pilcr1.filtered_proteins.FilteredModels1.gff3.gz,46.3,21583,102528,80921,3.74929342538,6
Pismi1,Pisolithus microcarpus 441 v1.0,Pismi1_AssemblyScaffolds.fasta.gz,Pismi1.filtered_proteins.FilteredModels1.gff3.gz,49.0,21064,85126,64041,3.0403057349,24
Pisti1,Pisolithus tinctorius Marx 270 v1.0,Pisti1_AssemblyScaffolds.fasta.gz,Pisti1.filtered_proteins.FilteredModels1.gff3.gz,48.9,22701,93250,70519,3.10642702965,2
PleosPC15_2,Pleurotus ostreatus PC15 v2.0,PleosPC15_2_Assembly_scaffolds.fasta.gz,PleosPC15_2.filtered_proteins.FilteredModels1.gff3.gz,50.9,12330,75035,62704,5.08548256285,2
Pneji1,Pneumocystis jirovecii,Pneji1_AssemblyScaffolds.fasta.gz,Pneji1.filtered_proteins.ExternalModels.gff3.gz,28.4,3520,20191,16671,4.73607954545,10
Podan2,Podospora anserina S mat+,Podan2_AssemblyScaffolds.fasta.gz,Podan2.filtered_proteins.GenoscopeModels.gff3.gz,52.2,1520,3669,2147,1.4125,7
PosplRSB12_1,Postia placenta MAD-698-R-SB12 v1.0,PosplRSB12_1_AssemblyScaffolds.fasta.gz,PosplRSB12_1.filtered_proteins.FilteredModels1.gff3.gz,53.8,12541,78157,65610,5.23164022008,3
Punst1,Punctularia strigosozonata v1.0,Punst1_AssemblyScaffolds.fasta.gz,Punst1.filtered_proteins.FilteredModels1.gff3.gz,55.2,11538,71843,60304,5.2265557289,9
Pycco1662_1,Pycnoporus coccineus CIRM1662,Pycco1662_1_AssemblyScaffolds.fasta.gz,Pycco1662_1.filtered_proteins.FilteredModels1.gff3.gz,56.5,12798,74601,61803,4.82911392405,46
Pyrco1,Pyronema confluens CBS100304,Pyrco1_AssemblyScaffolds.fasta.gz,Pyrco1.filtered_proteins.ExternalModels.gff3.gz,47.8,13367,35901,22534,1.68579337174,6
Rhior3,Rhizopus oryzae 99-880 from Broad,Rhior3_scaffolds.fasta.gz,Rhior3.filtered_proteins.BroadGene.gff3.gz,35.6,17467,57981,40514,2.3194595523,4
Rhiso1,Rhizoctonia solani AG-1 IB,Rhiso1_AssemblyScaffolds.fasta.gz,Rhiso1.filtered_proteins.ExternalModels.gff3.gz,48.1,15157,88436,73279,4.83466385169,15
Rhivi1,Rhizopogon vinicolor AM-OR11-026 v1.0,Rhivi1_AssemblyScaffolds.fasta.gz,Rhivi1.filtered_proteins.FilteredModels1.gff3.gz,48.2,14469,80703,66233,4.57757965305,1
Schco3,Schizophyllum commune H4-8 v3.0,Schco3_AssemblyScaffolds.fasta.gz,Schco3.filtered_proteins.FilteredModels1.gff3.gz,57.5,16319,86053,69734,4.27317850358,35
Schco_LoeD_1,Schizophyllum commune Loenen D v1.0,Schco_LoeD_1_AssemblyScaffolds.fasta.gz,Schco_LoeD_1.filtered_proteins.FilteredModels2.gff3.gz,57.5,13827,76748,62921,4.55058942648,35
Schco_TatD_1,Schizophyllum commune Tattone D v1.0,Schco_TatD_1_AssemblyScaffolds.fasta.gz,Schco_TatD_1.filtered_proteins.FilteredModels1.gff3.gz,57.5,15199,80095,64896,4.26975458912,35
Schcy1,Schizosaccharomyces cryophilus OY26,Schcy1_AssemblyScaffolds.fasta.gz,Schcy1.filtered_proteins.BroadModels.gff3.gz,37.7,5180,11129,5949,1.14845559846,3
Schja1,Schizosaccharomyces japonicus yFS275,Schja1_AssemblyScaffolds.fasta.gz,Schja1.filtered_proteins.BroadModels.gff3.gz,43.8,4878,10266,5388,1.10455104551,9
Schoc1,Schizosaccharomyces octosporus yFS286,Schoc1_AssemblyScaffolds.fasta.gz,Schoc1.filtered_proteins.BroadModels.gff3.gz,37.5,4986,10519,5533,1.1097071801,2
Schpa1,Schizopora paradoxa KUC8140 v1.0,Schpa1_AssemblyScaffolds.fasta.gz,Schpa1.filtered_proteins.FilteredModels1.gff3.gz,49.4,17098,98823,81725,4.77979880688,1
Schpo1,Schizosaccharomyces pombe,Schpo1_AssemblyScaffolds.fasta.gz,Schpo1.filtered_proteins.ExternalModels.gff3.gz,36.0,5134,10439,5305,1.03330736268,498
Sclsc1,Sclerotinia sclerotiorum v1.0,Sclsc1_AssemblyScaffolds.fasta.gz,Sclsc1.filtered_proteins.ExternalModels.gff3.gz,41.8,14503,40568,26065,1.79721436944,5
Sebve1,Sebacina vermifera MAFF 305830 v1.0,Sebve1_AssemblyScaffolds.fasta.gz,Sebve1.filtered_proteins.FilteredModels1.gff3.gz,48.9,15312,75701,60384,3.94357366771,6
Sepmu1,Septoria musiva SO2202 v1.0,Sepmu1_AssemblyScaffolds.fasta.gz,Sepmu1.filtered_proteins.FilteredModels1.gff3.gz,51.1,10233,24925,14689,1.43545392358,3
Seppo1,Septoria populicola v1.0,Seppo1_AssemblyScaffolds.fasta.gz,Seppo1.filtered_proteins.FilteredModels1.gff3.gz,50.3,2369,6117,3720,1.57028281976,3
SerlaS7_3_2,Serpula lacrymans S7.3 v2.0,Serpula_lacrymans_S7_3_v2.unmasked.fasta.gz,SerlaS7_3_2.filtered_proteins.FilteredModels1.gff3.gz,45.3,14495,76165,61667,4.25436357365,1
SerlaS7_9_2,Serpula lacrymans S7.9 v2.0,SerlaS7_9_2_AssemblyScaffolds.fasta.gz,SerlaS7_9_2.filtered_proteins.FilteredModels1.gff3.gz,45.3,12789,73301,60512,4.73156618969,1
Serla_varsha1,Serpula lacrymans var shastensis SHA21-2 v1.0,Serla_varsha1_AssemblyScaffolds.fasta.gz,Serla_varsha1.filtered_proteins.FilteredModels1.gff3.gz,44.5,13805,75115,61308,4.44099963781,1
Settu1,Setosphaeria turcica Et28A v1.0,Settu1_AssemblyScaffolds.fasta.gz,Settu1.filtered_proteins.FilteredModels1.gff3.gz,51.4,11702,31062,19360,1.6544180482,27
Sisbr1,Lentinus tigrinus v1.0,Sisbr1_AssemblyScaffolds.fasta.gz,Sisbr1.filtered_proteins.FilteredModels1.gff3.gz,56.1,15653,87180,71527,4.56953938542,2
Sphst1,Sphaerobolus stellatus v1.0,Sphst1_AssemblyScaffolds.fasta.gz,Sphst1.filtered_proteins.FilteredModels1.gff3.gz,44.4,35274,164620,129318,3.66609967682,1
Spoth2,Myceliophthora thermophila (Sporotrichum thermophile) v2.0,Spoth2_AssemblyScaffolds.fasta.gz,Spoth2.filtered_proteins.FilteredModels2.gff3.gz,51.5,1988,5649,3660,1.84104627767,18
Suibr1,Suillus brevipes v1.0,Suibr1_AssemblyScaffolds.fasta.gz,Suibr1.filtered_proteins.FilteredModels1.gff3.gz,48.1,22453,101999,79546,3.5427782479,1
Suilu1,Suillus luteus UH-Slu-Lm8-n1 v1.0,Suilu1_AssemblyScaffolds.fasta.gz,Suilu1.filtered_proteins.FilteredModels1.gff3.gz,48.0,18316,87779,69415,3.78985586373,4
Talma1_2,Talaromyces marneffei ATCC 18224,Talma1_2_AssemblyScaffolds.fasta.gz,Talma1_2.filtered_proteins.ExternalModels.gff3.gz,46.7,10638,33631,22993,2.16140251927,9
Thite2,Thielavia terrestris v2.0,Thite2_AssemblyScaffolds.fasta.gz,Thite2.filtered_proteins.FilteredModels2.gff3.gz,54.7,5308,15178,9870,1.85945742276,18
Tilan2,Tilletiaria anomala UBC 951 v1.0,Tilan2_AssemblyScaffolds.fasta.gz,Tilan2.filtered_proteins.FilteredModels1.gff3.gz,56.0,6810,22632,15822,2.32334801762,2
Trepe1,Trematosphaeria pertusa CBS 122368 v1.0,Trepe1_AssemblyScaffolds.fasta.gz,Trepe1.filtered_proteins.FilteredModels1.gff3.gz,51.4,5846,16169,10323,1.76582278481,1
Trias1,Trichoderma asperellum CBS 433.97 v1.0,Trias1_AssemblyScaffolds.fasta.gz,Trias1.filtered_proteins.FilteredModels1.gff3.gz,47.3,3979,10552,6573,1.65192259362,1
Triat2,Trichoderma atroviride v2.0,Trichoderma_atroviride_v2_AssemblyScaffolds.fasta.gz,Triat2.filtered_proteins.FilteredModels1.gff3.gz,49.7,11828,33788,21959,1.85652688536,13
Triha1,Trichoderma harzianum CBS 226.95 v1.0,Triha1_AssemblyScaffolds.fasta.gz,Triha1.filtered_proteins.FilteredModels1.gff3.gz,47.6,4152,11143,6990,1.68352601156,9
Trilo3,Trichoderma longibrachiatum ATCC 18648 v3.0,Trilo3_AssemblyScaffolds.fasta.gz,Trilo3.filtered_proteins.FilteredModels1.gff3.gz,53.0,4925,13392,8467,1.71918781726,3
Trima3,Tricholoma matsutake 945 v3.0,Trima3_AssemblyScaffolds.fasta.gz,Trima3.filtered_proteins.FilteredModels2.gff3.gz,45.4,22885,92270,69384,3.03185492681,1
Trire2,Trichoderma reesei v2.0,Trichoderma_reeseiV2.AssembledScaffolds.fasta.gz,Trire2.filtered_proteins.FrozenGeneCatalog20081022.gff3.gz,52.8,9143,27945,18802,2.05643661818,41
TrireRUTC30_1,Trichoderma reesei RUT C-30 v1.0,TrireRUTC30_1_AssemblyScaffolds.fasta.gz,TrireRUTC30_1.filtered_proteins.FilteredModels1.gff3.gz,53.6,6043,17506,11463,1.89690551051,41
Triru1,Trichophyton rubrum CBS 118892,Triru1_AssemblyScaffolds.fasta.gz,Triru1.filtered_proteins.BroadModels.gff3.gz,48.3,8707,26976,18269,2.09819685311,8
Tubme1,Tuber melanosporum from Genoscope,Tubme1_AssemblyScaffolds.fasta.gz,Tubme1.filtered_proteins.Genoscope_genes.gff3.gz,44.9,7496,29021,21525,2.87153148346,4
Tulca1,Tulasnella calospora AL13/4D v1.0,Tulca1_AssemblyScaffolds.fasta.gz,Tulca1.filtered_proteins.FilteredModels1.gff3.gz,51.4,19659,91344,71680,3.64616714991,7
Uncre1,Uncinocarpus reesii 1704,Uncre1_AssemblyScaffolds.fasta.gz,Uncre1.filtered_proteins.BroadModels.gff3.gz,48.7,5850,18233,12383,2.11675213675,1
Verda1,Verticillium dahliae v1.0,Verda1_AssemblyScaffolds.fasta.gz,Verda1.filtered_proteins.ExternalModels.gff3.gz,55.9,10535,29685,19150,1.81775035596,39
Veren1,Verruculina enalia CBS 304.66 v1.0,Veren1_AssemblyScaffolds.fasta.gz,Veren1.filtered_proteins.FilteredModels1.gff3.gz,41.2,13748,39009,25261,1.83743089904,1
Volvo1,Volvariella volvacea V23,Volvo1_AssemblyScaffolds.fasta.gz,Volvo1.filtered_proteins.ExternalModels.gff3.gz,48.8,3511,25602,22091,6.29193961834,9
Wesor1,Westerdykella ornata CBS 379.55 v1.0,Wesor1_AssemblyScaffolds.fasta.gz,Wesor1.filtered_proteins.FilteredModels1.gff3.gz,53.1,10410,28893,18483,1.77550432277,1
Wolco1,Wolfiporia cocos MD-104 SS10 v1.0,Wolco1_AssemblyScaffolds.fasta.gz,Wolco1.filtered_proteins.FilteredModels2.gff3.gz,52.2,12746,80404,67651,5.30762592186,1
Xylhe1,Xylona heveae TC161 v1.0,Xylhe1_AssemblyScaffolds.fasta.gz,Xylhe1.filtered_proteins.FilteredModels1.gff3.gz,48.1,3257,10904,7647,2.34786613448,1
